ticker,name,aliases
BHEL,Bharat Heavy Electricals Ltd.,Bharat Heavy Electricals Ltd
HINDPETRO,Hindustan Petroleum Corporation Ltd,Hindustan Petroleum Corporation Ltd
IPCL,Indian Petrochemicals Corpn. Ltd.,Indian Petrochemicals Corporation Ltd
IFCI,IFCI Ltd.,IFCI Ltd
JINDALIRON,Jindal Iron & Steel Co Ltd.,Jindal Iron & Steel Company Ltd
MTNL,Mahanagar Telephone Nigam Ltd.,Mahanagar Telephone Nigam Ltd
MRPL,Mangalore Refinery & Petrochemicals,Mangalore Refinery and Petrochemicals Ltd
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Chennai Petroleum Corporation Ltd
RELCAPITAL,Reliance Capital Limited,Reliance Capital Ltd
SBIN,State Bank Of India,State Bank of India
SAIL,Steel Authority of India Ltd.,Steel Authority of India Ltd
TITAN,Titan Company Limited,Titan Company Ltd
MSTRP,Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,MSTRP
IDBI,IDBI Bank Ltd,IDBI Bank Ltd
DCW,DCW Ltd.,DCW Ltd
DHAMPURSUG,Dhampur Sugar Mills Ltd.,Dhampur Sugar Mills Ltd
DIAMINESQ,Diamines & Chemicals Ltd.,Diamines & Chemicals Ltd
DIGITAL,Digital Globalsoft Ltd.,Digital GlobalSoft Ltd
AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Ambuja Cement Rajasthan Ltd
ELANTAS,Elantas Beck India Ltd,Elantas Beck India Ltd
DRREDDY,Dr. Reddy's Laboratories Ltd.,Dr Reddys Laboratories Ltd
EIDPARRY,E.I.D. Parry (India) Ltd.,EID Parry India Ltd
PGHL,PROCTER & GAMBLE HEALTH LIMITED,Procter & Gamble Health Ltd
ESTMNAL,Eastern Mining & Allied Ltd,Eastern Mining & Allied Industries Ltd
ELECTCAST,Electrosteel Castings Ltd.,Electrosteel Castings Ltd
ELAUPAR-BDM,"Elgi Auto Parts Ltd.,",Elgi Auto Parts Ltd
ELGIF,Elgi Finance Ltd.,Elgi Finance Ltd
ELGITR,Elgitread (India)  Ltd.,Elgitread (India) Ltd
EMPEESUG,Empee Sugars & Chemicals Ltd.,Empee Sugars & Chemicals Ltd
ESABINDIA,Esab India Ltd.,Esab India Ltd
ESSAROIL,Essar Oil Ltd.,Essar Oil Ltd
EPL,EPL LIMITED,EPL Ltd
ESTER,Ester Industries Ltd.,Ester Industries Ltd
UNIWORTHT,Uniworth Textiles Ltd.,Uniworth Textiles Ltd
FEDDERELEC,Fedders Electric and Engineering Limited,Fedders Electric and Engineering Ltd
FEMNORM-B,Femnor Mineral (India) Ltd.,Femnor Mineral (India) Ltd
FERROALL,Ferro Alloys Corporation Ltd.,Ferro Alloys Corporation Ltd
FGP,FGP Ltd,FGP Ltd
PHCAP,P.H. Capital Ltd.,PH Capital Ltd
FINCABLES,Finolex Cables Ltd.,Finolex Cables Ltd
FIRSTLEASE,First Leasing Co. of India Ltd.,First Leasing Company of India Ltd
COCKERILL,JOHN COCKERILL INDIA LIMITED,John Cockerill India Ltd
UFLEX,Uflex Limited,Uflex Ltd
FLOAI,Floatglass India Limited,Floatglass India Ltd
FOSECOIND,Foseco India Ltd,Foseco India Ltd
GOLDENTOBC,Golden Tobacco Ltd.,Golden Tobacco Ltd
GRMAG,"G.R. Magnets, Ltd.",GR Magnets Ltd
GANESHBE,Ganesh Benzoplast Ltd.,Ganesh Benzoplast Ltd
FOSCL,Futuristic Offshore Services and Chemical Ltd.,Futuristic Offshore Services & Chemical Ltd
GARDENSILK,Garden Silk Mills Ltd.,Garden Silk Mills Ltd
GRMNR,German Remedies Ltd.,German Remedies Ltd
GICBALN-B,GIC Balanced Fund,GICBALN-B
GICBGVL-B,GIC Big Value (QRT),GICBGVL-B
METROGLOBL,Metroglobal Limited,Metroglobal Ltd
GTL,GTL Ltd,GTL Ltd
GTB,Global Trust Bank Ltd.,Global Trust Bank Ltd
PARRYSUGAR,Parrys  Sugar  Industries Limited,Parrys Sugar Industries Ltd
GODFRYPHLP,Godfrey Phillips India Ltd.,Godfrey Phillips India Ltd
GODREJIND,Godrej Industries Ltd.,Godrej Industries Ltd
KANSAINER,Kansai Nerolac Paints,Kansai Nerolac Paints Ltd
GOODRICKE,Goodricke Group Ltd.,Goodricke Group Ltd
GOVMC,Good Value Marketing Co. Ltd.,Good Value Marketing Company Ltd
GOODYEAR,Goodyear India Ltd.,Goodyear India Ltd
GRPCOMI,"Grapco Mining & Co. Ltd.,",Grapco Mining & Company Ltd
GTNINDS,GTN Industries Limited,GTN Industries Ltd
GHCL,GHCL Ltd.,GHCL Ltd
GFLLIMITED,GFL LIMITED,GFL Ltd
GLFL,Gujarat Lease Financing Limited,Gujarat Lease Financing Ltd
GTCL,Gujarat Telephone Cables Ltd.,Gujarat Telephone Cables Ltd
HAMCMIN-B,HAMCO Mining & Smelting ltd.,HAMCO Mining & Smelting Ltd
HANILERA,Hanil Era Textiles Ltd.,Hanil Era Textiles Ltd
HARCR,Harig Crankshafts Ltd.,Harig Crankshafts Ltd
HCL-INSYS,HCL Infosystems Ltd,HCL Infosystems Ltd
HDFCBANK,HDFC Bank Ltd.,HDFC Bank Ltd
HRBTSON-B,Herbertsons Ltd.,Herbertsons Ltd
HEROMOTOCO,Hero MotoCorp Limited,Hero MotoCorp Ltd
HFCL,HFCL LIMITED,HFCL Ltd
HSCL,Himadri Speciality Chemical Ltd.,Himadri Speciality Chemical Ltd
HCC,Hindustan Construction Co. Ltd.,Hindustan Construction Company Ltd
HINDOILEXP,Hindustan Oil Exploration Co. Ltd.,Hindustan Oil Exploration Company Ltd
AGI,AGI GREENPAC LIMITED,Agi Greenpac Ltd
HINDZINC,Hindustan Zinc Ltd.,Hindustan Zinc Ltd
NDLVENTURE,NDL Ventures Limited,NDL Ventures Ltd
HITDRDM,Hitech Drilling Services India Ltd.,Hitech Drilling Services India Ltd
HMT,HMT Limited,HMT Ltd
PRAGBOS,Prag Bosimi Synthetics Ltd.,Prag Bosimi Synthetics Ltd
HLVLTD,HLV LIMITED,HLV Ltd
HOTLINGLAS,Hotline Glass Ltd.,Hotline Glass Ltd
HTSUMAG,"Hytaisun Magnetics Ltd.,",Hytaisun Magnetics Ltd
IBP,IBP Co. Ltd.,IBP Company Ltd
IGPL,IG Petrochemicals Ltd,IG Petrochemicals Ltd
INDIAGLYCO,India Glycols Ltd,India Glycols Ltd
INDLEASE,India Lease Devl. Ltd.,India Lease Development Ltd
INDPOLY,"India Polyfibres Ltd.,",India Polyfibres Ltd
INDSEC,India Securities Ltd.,India Securities Ltd
MARGOFIN,Margo Finance Limited,Margo Finance Ltd
INDORAMA,Indo Rama Synthetics (India) Ltd.,Indo Rama Synthetics (India) Ltd
INDUNISS,Indu Nissan Oxo-Chemical Industries,Indu Nissan Oxo Chemical Industries Ltd
INFY,Infosys Ltd,Infosys Ltd
INGERRAND,Ingersoll-Rand (India) Ltd.,Ingersoll-Rand (India) Ltd
INSILCO,Insilco Ltd,Insilco Ltd
IFSL,Integrated Financial Services Ltd.,Integrated Financial Services Ltd
ITHL,International Travel House Ltd,International Travel House Ltd
IONEXCHANG,Ion Exchange (India) Ltd,Ion Exchange India Ltd
SUNDROP,SUNDROP BRANDS LIMITED,Sundrop Brands Ltd
ITCHOTEL,ITC Hotels Ltd Old,ITC Hotels Ltd
ITWSGDM,ITW Signode India Ltd,ITW Signode India Ltd
JKPHARMA,J.K.Pharmachem Ltd.,JK Pharmachem Ltd
JISLJALEQS,Jain Irrigation Systems Ltd.,Jain Irrigation Systems Ltd
JASCH,Jasch Industries Ltd.,Jasch Industries Ltd
JPHOTEL,Jaypee Hotels Ltd.,Jaypee Hotels Ltd
JCTEL,JCT Electronics Ltd.,JCT Electronics Ltd
JCTLTD,JCT Ltd,JCT Ltd
JNDST,Nalwa Sons Investment Ltd,JNDST
CONSOFIN,Consolidated Finvest & Holdings Limited,Consolidated Finvest & Holdings Ltd
JINDALPOLY,Jindal Poly Films Ltd.,Jindal Poly Films Ltd
JSWSTEEL,JSW Steel Limited,JSW Steel Ltd
JINDVJY,JSW Steel Limited,JINDVJY
JINDALV,JSW Steel Limited,JINDALV
UMANGDAIRY,Umang Dairies Limited,Umang Dairies Ltd
JORDENG-B,Jord Engineers India Ltd,Jord Engineers India Ltd
KAJARIACER,Kajaria Ceramics Ltd,Kajaria Ceramics Ltd
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,Kakatiya Cement Sugar & Industries Ltd
KSL,Kalyani Steels Ltd,Kalyani Steels Ltd
KANELIND,Kanel Industries Limited,Kanel Industries Ltd
KEDIADI-B,Kedia Distilleries Ltd.,Kedia Distilleries Ltd
WHIRLPOOL,Whirlpool of India Ltd,Whirlpool of India Ltd
KGDENIM,K.G.Denim Ltd,KG Denim Ltd
KINETICENG,Kinetic Engineering Ltd.,Kinetic Engineering Ltd
KIRLOSBROS,Kirloskar Brothers Ltd.,Kirloskar Brothers Ltd
KIRPNDM,Kirloskar Pneumatic Co. Ltd.,Kirloskar Pneumatic Company Ltd
KIRLOSIND,Kirloskar Industries Ltd,Kirloskar Industries Ltd
KIRLFER,Kirloskar Ferrous Industries Ltd.,Kirloskar Ferrous Industries Ltd
ENVAIREL,Envair Electrodyne Ltd.,Envair Electrodyne Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd.,Kotak Mahindra Bank Ltd
KRIFILIND,KRISHNA FILAMENT INDUSTRIES LIMITED,Krishna Filament Industries Ltd
KSB,KSB LIMITED,KSB Ltd
LGBBROSLTD,L.g.Balkrishnan & Bros. Ltd.,LG Balakrishnan & Bros Ltd
TRENT,Trent Ltd [Lakme Ltd],Trent Ltd
LMW,LMW Limited,LMW Ltd
LICHSGFIN,Lic Housing Finance Ltd.,LIC Housing Finance Ltd
UTTAMVALUE,Uttam Value Steels Limited,Uttam Value Steels Ltd
LML,L.M.L. Limited,LML Ltd
LOKHSG,Lok Housing & Construction Ltd.,Lok Housing & Constructions Ltd
LUPIN,Lupin Ltd,Lupin Ltd
LUPINDM,Lupin Laboratories Ltd.,Lupin Laboratories Ltd
LYKALABS,Lyka Labs Ltd.,Lyka Labs Ltd
RAMCOCEM,The Ramco Cements Limited,The Ramco Cements Ltd
MDRPTRO,Madras Petro-Chem. Ltd.,Madras Petrochem Ltd
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED,Hybrid Financial Services Ltd
MAFATIND,Mafatlal Industries Ltd.,Mafatlal Industries Ltd
MAHSEAMLES,Maharashtra Seamless Ltd.,Maharashtra Seamless Ltd
MAHSCOOTER,Maharashtra Scooters Ltd.,Maharashtra Scooters Ltd
MAJESAUT,Majestic Auto Ltd.,Majestic Auto Ltd
MANALIPETC,Manali Petrochemicals Ltd.,Manali Petrochemicals Ltd
MARDIACH,"Mardia Chemicals Ltd.,",Mardia Chemicals Ltd
BARODARY,Baroda Rayon Corpn. Ltd.,Baroda Rayon Corporation Ltd
MFSL,Max Financial Services Limited,Max Financial Services Ltd
MAXWORC-B,Maxworth Orchards (India) Ltd.,Maxworth Orchards (India) Ltd
MCDWLDM,"Mcdowell & Co. Ltd.,",MCDWLDM
MESPHAR-B,Mesco Pharmaceuticals Ltd.,Mesco Pharmaceuticals Ltd
MTZIND,MTZ Industries Ltd.,MTZ Industries Ltd
MICROPL-B,Micro Plantae Ltd.,Micro Plantae Ltd
MIDINDIA,Mid India Industries Limited,Mid India Industries Ltd
MIDESTI-B,Mideast (India) Ltd.,Mideast India Ltd
MIRCELECTR,Mirc Electronics Ltd,Mirc Electronics Ltd
CENTENKA,Century Enka Ltd.,Century Enka Ltd
MDRNSYN-B,Modern Syntex (India) Ltd.,Modern Syntex India Ltd
MODTHREAD,Modern Thread (India) Ltd.,Modern Thread India Ltd
MDTERYT-B,Modern Terry Towels Ltd,Modern Terry Towels Ltd
LORDSCHLO,Lords Chloro Alkali Ltd,Lords Chloro Alkali Ltd
SPICEJET,SpiceJet Limited,Spicejet Ltd
MONTA,Montari Industries Ltd.,Montari Industries Ltd
MOREPENLAB,Morepen Laboratories Ltd.,Morepen Laboratories Ltd
MSGF,Morgan Stanley Growth Fund,Morgan Stanley Mutual Fund
MRF,M.R.F. Ltd.,MRF Ltd
HEIDELBERG,HeidelbergCement  India Limited,HeidelbergCement India Ltd
MYSRKIR-B,"Mysore Kirloskar Ltd.,",Mysore Kirloskar Ltd
NCC,NCC Limited,NCC Ltd
VEDL,Vedanta Limited,Vedanta Ltd
NAHARSPING,Nahar Spinning Mills Ltd.,Nahar Spinning Mills Ltd
NATAL,National Aluminium Co. Ltd.,NATAL
NAPEROL,Naperol Investments Limited,Naperol Investments Ltd
GRASIM,Grasim Industries Ltd,Grasim Industries Ltd
NEPCMICON,NEPC India Ltd,NEPC India Ltd
PEL,Piramal Enterprises Limited,Piramal Enterprises Ltd
ABIRLANUVO,ADITYA BIRLA NUVO LTD.,Aditya Birla Nuvo Ltd
NIITLTD,NIIT Ltd.,NIIT Ltd
JSWISPAT,JSW ISPAT Steel Ltd,JSW ISPAT Steel Ltd
JAYKAY,Jaykay Enterprises Limited,Jaykay Enterprises Ltd
NIRLON,Nirlon Limited,Nirlon Ltd
NIRMA,Nirma Ltd.,Nirma Ltd
NOVAEL-,"Nova Electro Magnetics Ltd.,",Nova Electro Magnetics Ltd
NOVOPANIND,Novopan Industries Ltd.,Novopan Industries Ltd
NUCHEM,Nuchem Ltd.,Nuchem Ltd
ONGC,Oil And Natural Gas Corporation Ltd,Oil and Natural Gas Corporation Ltd
OILCOUNTUB,Oil Country Tubular Ltd.,Oil Country Tubular Ltd
ORIENTHOT,Oriental Hotels Ltd.,Oriental Hotels Ltd
ORIENTBANK,Oriental Bank Of Commerce,Oriental Bank of Commerce
OSWALAGRO,Oswal Agro Mills Ltd.,Oswal Agro Mills Ltd
OSSWM,Oswal Spinning & Weaving Mills Ltd.,Oswal Spinning & Weaving Mills Ltd
INDSUCR,Indian Sucrose Ltd.,Indian Sucrose Ltd
PADMINIT,Padmini Technologies Ltd.,Padmini Technologies Ltd
PANCM,Panyam Cements & Mineral Inds. Ltd.,Panyam Cements & Mineral Industries Ltd
PAREKHPLAT,Parekh Platinum Ltd.,Parekh Platinum Ltd
RELIANCE,Reliance Industries Ltd,Reliance Industries Ltd
PATHEJA-B,Patheja Forgings & Auto Parts Mfgs,Patheja Forgings & Auto Parts Manufacturers Ltd
PILITA,Pil Italica Lifestyle Limited,Pil Italica Lifestyle Ltd
PENTFOR-B,Pentafour Products Ltd.,Pentafour Products Ltd
PENTAGRAPH,Pentamedia Graphics Ltd,Pentamedia Graphics Ltd
RAYMOND,Raymond Limited,Raymond Ltd
PIDILITIND,Pidilite Industries Ltd.,Pidilite Industries Ltd
PITICEM-B,"Pittie Cements & Industries Ltd.,",Pittie Cements & Industries Ltd
PIXTRANS,Pix Transmissions Ltd.,Pix Transmissions Ltd
PRMRVNY-B,Premier Vinyl Flooring Ltd.,Premier Vinyl Flooring Ltd
BIRLACORPN,Birla Corporation Ltd.,Birla Corporation Ltd
SURYAROSNI,Surya Roshni Ltd.,Surya Roshni Ltd
PRIMESECU,Prime Securities Ltd.,Prime Securities Ltd
PRSMJOHNSN,PRISM JOHNSON LIMITED.,Prism Johnson Ltd
RAIN,Rain Industries Limited,Rain Industries Ltd
ITBHPDM,ITC Bhadrachalam Paperboards Ltd.,ITC Bhadrachalam Paperboards Ltd
PRUDCAP-BDM,Prudential Capital Markets Ltd,Prudential Capital Markets Ltd
PRUDMOULI,Prudential Sugar Corporation Ltd,Prudential Sugar Corporation Ltd
AMJLAND,AMJ LAND HOLDINGS LIMITED,AMJ Land Holdings Ltd
PUNJABTRAC,Punjab Tractors Ltd.,Punjab Tractors Ltd
PPOWER-,Punjab Power Generation Machines Lt,PPOWER-
PUNJCOMMU,Punjab Communications Limited,Punjab Communications Ltd
PUNWRDM,"Punjab Wireless Systems Limited.,",Punjab Wireless Systems Ltd
QLTYSTL,Quality Steel & Forgings Ltd,Quality Steel & Forgings Ltd
RASIC,"Raasi Cement Ltd.,",RASIC
RSWM,RSWM Limited,RSWM Ltd
RAJPOTU,Rajasthan Polyvin Tubes Ltd.,Rajasthan Polyvin Tubes Ltd
RAJTOOL,Rajasthan Tools Ltd.,Rajasthan Tools Ltd
RAJNSTL-B,"Rajinder Steels Ltd.,",Rajinder Steels Tubes Ltd
RAJSREESUG,Rajshree Sugars & Chemicals Ltd.,Rajshree Sugars & Chemicals Ltd
RALLIS,Rallis India Ltd,Rallis India Ltd
RAMANEWS,Shree Rama Newsprint Limited,Shree Rama Newsprint Ltd
RAMAPPR-B,Rama Paper Mills Limited,Rama Paper Mills Ltd
RAMAPETRO,Rama Petrochemicals Ltd,Rama Petrochemicals Ltd
RANBAXY,Ranbaxy Laboratories Ltd.,Ranbaxy Laboratories Ltd
RAPICUT,Rapicut Carbides Ltd.,Rapicut Carbides Ltd
RASPRO,Ras Propack Lamipack Ltd,Ras Propack Lamipack Ltd
RECRON,Recron Synthetics Ltd.,Recron Synthetics Ltd
REVAP,Real Value Appliances Ltd,Real Value Appliances Ltd
REPETDM,Reliance Petroleum Ltd.,Reliance Petroleum Ltd
WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LIMITED,Welspun Specialty Solutions Ltd
ROLTA,Rolta India Ltd.,Rolta India Ltd
RUBFILA,Rubfila International Ltd.,Rubfila International Ltd
PATANJALI,Patanjali Foods Limited,Patanjali Foods Ltd
RPGTRANS,RPG Transmission Ltd.,RPG Transmission Ltd
SALORAINTL,Salora International Limited,Salora International Ltd
SAMTELIN,Samtel (India) Ltd.,Samtel India Ltd
SAMTEL,Samtel Colour Ltd.,Samtel Color Ltd
CLARIANT,Clariant (India) Ltd,Clariant India Ltd
SANAS,Sandvik Asia Ltd.,Sandvik Asia Ltd
SANGHIPOLY,Sanghi Polyesters Ltd.,Sanghi Polyesters Ltd
SATYAM,Satyam Computer Services Ltd,Satyam Computer Services Ltd
SHREEJIPHOS,Shreeji Phosphate Ltd.,Shreeji Phosphate Ltd
JINDALSAW,Jindal Saw Ltd.,Jindal Saw Ltd
SBIHOMEFIN,SBI Home Finance Ltd,SBI Home Finance Ltd
JKLAKSHMI,JK Lakshmi Cement Limited,JK Lakshmi Cement Ltd
SBIMGNE-B,SBI Magnum Express Scheme 1991,SBIMGNE-B
BRABOURNE,Brabourne Enterprises Limited,Brabourne Enterprises Ltd
SHAMKNSPIN,Shamken Spinners Ltd.,Shamken Spinners Ltd
SHREECEM,Shree Cements Ltd.,Shree Cement Ltd
SKPMIL,Shree Krishna Paper Mills & Industr,Shree Krishna Paper Mills & Industries Ltd
SILVERLINE,Silverline Technologies Ltd.,Silverline Technologies Ltd
RELINFRA,Reliance Infrastructure Ltd,Reliance Infrastructure Ltd
SMDYECH,S.M. Dyechem Ltd.,SM Dyechem Ltd
SOLPHR--Z,SOL Pharmaceutical Ltd.,SOL Pharmaceuticals Ltd
SOLCT,Solid Carbide Tools Ltd,Solid Carbide Tools Ltd
SOUTHNHE,Southern Herbals Ltd,Southern Herbals Ltd
TASSLDM,Tata SSL Ltd,Tata SSL Ltd
HENKELSPIC,Henkel Spic India Ltd,Henkel Spic India Ltd
GECAP,GE Capital Transportation Financial Services Ltd,GE Capital Transportation Financial Services Ltd
STEELCO,Steelco Gujarat Ltd,Steelco Gujarat Ltd
TATAPOWER,Tata Power Co. Ltd,Tata Power Company Ltd
SPMLINFRA,SPML Infra Limited,SPML Infra Ltd
SUNDRMFAST,Sundram Fasteners Ltd.,Sundram Fasteners Ltd
SUNFLAG,Sunflag Iron & Steel Co. Ltd.,Sunflag Iron & Steel Company Ltd
SPLPETRO,Supreme Petrochem Ltd.,Supreme Petrochem Ltd
SURYAGRO,Surya Agroils Ltd.,Surya Agroils Ltd
SWARAJENG,Swaraj Engines Ltd.,Swaraj Engines Ltd
TATAELXSI,Tata Elxsi Ltd,Tata Elxsi Ltd
TAHYDDM,Tata Hydro Electric Power Supply Co,Tata Hydro-Electric Power Supply Co Ltd
ACC,ACC Ltd,ACC Ltd
THERMAX,Thermax Ltd.,Thermax Ltd
TIRUMALCHM,Thirumalai Chemicals Ltd.,Thirumalai Chemicals Ltd
THOMASCOOK,Thomas Cook (India) Ltd.,Thomas Cook (India) Ltd
TIMEX,Timex Group India Ltd,Timex Group India Ltd
TISCSPN-B,TATA STEEL LIMITED,TISCSPN-B
TITAGRST,Titagarh Steels Limited,Titagarh Steels Ltd
TITANAL,Titan Alloys Ltd.,Titan Alloys Ltd
TOKYOPLAST,Tokyo Plast International Ltd.,Tokyo Plast International Ltd
TOLANDM,Tolani Bulk Carriers ltd.,Tolani Bulk Carriers Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Torrent Pharmaceuticals Ltd
TPINDIA,TPI India Ltd.,TPI India Ltd
TRANSCHEM,Transchem Limited.,Transchem Ltd
TVSEL,"TVS Electronics Ltd.,",TVS Electronics Ltd
TVSSZDM,TVS-Suzuki Limited.,TVSSZDM
AMBUJACEM,Ambuja Cements Ltd.,Ambuja Cements Ltd
